title,cgross,studio,theaters2,theaters1,opening_gross,release_data
America the Beautiful 2: The Thin Commandments,12366,PMKBNC,3,3,5599,10/14/11
America's Heart and Soul,314402,BV,98,98,134939,7/2/04
America's Sweethearts,93607673,SonR,3011,3011,30181877,7/20/01
America: Freedom to Fascism,87400,CLS,10,10,61200,7/28/06
The American,35606376,Focus,2823,2833,13177790,9/1/10
American Adobo,344992,Outr.,3,7,41001,1/25/02
An American Affair,28044,Scre.,2,2,11700,2/27/09
American Animal,5928,Scre.,1,1,5928,5/18/12
American Animals,2856954,Orch.,4,339,134793,6/1/18
American Anthem,4845724,Col.,900,900,1867969,6/27/86
American Assassin,36249674,LGF,3154,3154,14846778,9/15/17
American Beauty,130096601,DW,16,1990,861531,9/15/99
American Buffalo,665450,Gold.,29,73,164109,9/13/96
American Cannibal,16566,Life,1,1,4778,3/16/07
An American Carol,7013191,Viv.,1639,1639,3656000,10/3/08
American Casino,50437,Argo.,1,3,1397,8/14/09
American Chai,127518,Magic,5,5,23230,4/5/02
American Chaos,12368,SPC,26,26,7616,9/14/18
An American Crime,0,First,0,0,0,0
American Deep State,0,WARX2,0,0,0,10/19/18
American Desi,907835,Eros,38,38,305054,3/16/01
American Dream,269823,Mira.,2,7,9291,3/18/92
American Dreamer,5021751,WB,801,801,1580990,10/26/84
American Dreamz,7191830,Uni.,1500,1500,3667420,4/21/06
American Dresser,2211,Cdgm.,11,11,2211,9/21/18
